JANコード,商品ｺｰﾄﾞ,メーカー名,商品名,属性名１,棚ロケ,棚番,在庫
8032758967283,2990001,CAMPY(17) TOOL,UT-BB080 ｶｾｯﾄｺｸﾞ+BB専用工具,*,2,き-135,9
8032758962455,3000001,CAMPY(17) TOOL,UT-BB100 Set tools for BB,;;R1130050,2,取り置き棚,0
0,3000002,CAMPY(17) TOOL,UT-BB100 Set tools for BB,廃盤,2,取り置き棚,0
8020775012697,8600001,ELITE,ﾁｳｯｼ GEL ｱﾙﾐﾎﾞﾄﾙｹｰｼﾞ,ｼﾙﾊﾞｰ;;0000334,2,ち-208,34
8020775012680,8600002,ELITE,ﾁｳｯｼ GEL ｱﾙﾐﾎﾞﾄﾙｹｰｼﾞ,ﾌﾞﾗｯｸ;;0000333,2,ち-209,38
0,8600003,ELITE,ﾁｳｯｼ GEL ｱﾙﾐﾎﾞﾄﾙｹｰｼﾞ,ﾌﾞﾙｰ;;,2,,0
0,8600004,ELITE,ﾁｳｯｼ GEL ｱﾙﾐﾎﾞﾄﾙｹｰｼﾞ,ﾚｯﾄﾞ;;,2,,0
0,8600005,ELITE,ﾁｳｯｼ GEL ｱﾙﾐﾎﾞﾄﾙｹｰｼﾞ,ｲｴﾛｰ;;,2,,0
4962772157848,11580001,PARK TOOL,#100-3C ｸﾗﾝﾌﾟ☆,*,0,,0
4962772159248,11610001,PARK TOOL,#104 ﾜｰｸﾄﾚｲ☆,*,0,,1
4962772159200,11620001,PARK TOOL,#105 ﾜｰｸﾄﾚｲ☆,*,0,,0
4962772158623,11760001,PARK TOOL,#450 ﾊﾞｲｼｸﾙｽﾄﾚｰｼﾞﾌｯｸ(ﾅｯﾄﾀｲﾌﾟ)☆,*,0,,0
4962772158647,11780001,PARK TOOL,#466 ｸﾗﾝﾌﾟｶﾊﾞｰ☆,*,0,,0
4962772158654,11790001,PARK TOOL,#467B ｸﾗﾝﾌﾟｶﾊﾞｰ(ﾌﾞﾗｯｸ)☆,*,0,,0
4962772158661,11800001,PARK TOOL,#467G ｸﾗﾝﾌﾟｶﾊﾞｰ(ｸﾞﾚｰ)☆,*,0,,0
4962772158678,11810001,PARK TOOL,#468B ｸﾗﾝﾌﾟｶﾊﾞｰ(ﾌﾞﾗｯｸ)☆,*,0,,0
4962772158685,11820001,PARK TOOL,#468G ｸﾗﾝﾌﾟｶﾊﾞｰ(ｸﾞﾚｰ)☆,*,0,,0
4962772170113,11870001,PARK TOOL,#606 ﾀﾞｲｽ☆,*,0,,0
